chembl_id_ligand,smiles,activity_type
CHEMBL4442920,C#CCN(C)Cc1ccc(Br)cc1,Active
CHEMBL4592550,C#CCN(C)Cc1ccc(Cc2cn(C)nn2)cc1,Active
CHEMBL3291021,C#CCN(C)Cc1ccc(O)c2ncccc12,Active
CHEMBL3687958,C#CCN(C)Cc1ccc(OC)c2ncccc12,Active
CHEMBL673,C#CCN(C)Cc1ccccc1,Active
CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12,Active
CHEMBL16857,C#CCN(C)[C@@H](C)Cc1ccccc1,Active
CHEMBL436947,C#CCN(C)[C@@H]1CCc2ccccc21,Active
CHEMBL3585853,C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(Cl)ccc2O)cc1,Active
CHEMBL3585856,C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(O)ccc2O)cc1,Active
CHEMBL3585851,C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(OC)ccc2O)cc1,Active
CHEMBL3585855,C#CCN(C)[C@H](C)Cc1ccc(NCc2cc([N+](=O)[O-])ccc2O)cc1,Active
CHEMBL3585848,C#CCN(C)[C@H](C)Cc1ccc(NCc2ccccc2O)cc1,Active
CHEMBL3585847,C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2C)cc1,Active
CHEMBL3585846,C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2OC)cc1,Active
CHEMBL2333936,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,Active
CHEMBL2333932,C#CCN(C)[C@H](C)Cc1ccc(OCCNc2c3c(nc4ccccc24)CCCC3)cc1,Active
CHEMBL4239843,C#CCN(C)[C@H](C)Cc1ccc(OCc2ccccc2)cc1,Active
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,Active
CHEMBL2332211,C#CCN(C)[C@H](CF)CC(=C)C,Active
CHEMBL2332210,C#CCN(C)[C@H](CF)CC(C)C,Active
CHEMBL1911928,C#CCN(C)[C@H](CF)Cc1ccccc1,Active
CHEMBL2332212,C#CCN(C)[C@H](CF)Cc1ccco1,Active
CHEMBL3604128,C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2c(-c2ccccc2)c1C#N,Active
CHEMBL4211297,C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,Active
CHEMBL4790118,C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1)[C@@H](C)C(N)=O,Active
CHEMBL4786983,C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1C)[C@@H](C)C(N)=O,Active
CHEMBL4781289,C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1Cl)[C@@H](C)C(N)=O,Active
CHEMBL4786719,C#CCN(Cc1ccc(OCc2cccc(F)c2)cc1F)[C@@H](C)C(N)=O,Active
CHEMBL4476198,C#CCN1CCC(/C=C/c2cc(F)c(F)cc2F)CC1,Active
CHEMBL4544548,C#CCN1CCC(/C=C/c2ccc(Br)cc2)CC1,Active
CHEMBL4581765,C#CCN1CCC(/C=C/c2ccc(C#N)cc2)CC1,Active
CHEMBL4572478,C#CCN1CCC(/C=C/c2ccc(C(C)C)cc2)CC1,Active
CHEMBL4458212,C#CCN1CCC(/C=C/c2ccc(C(F)(F)F)cc2)CC1,Active
CHEMBL4556816,C#CCN1CCC(/C=C/c2ccc(C)cc2)CC1,Active
CHEMBL4449776,C#CCN1CCC(/C=C/c2ccc(C3CC3)cc2)CC1,Active
CHEMBL4444081,C#CCN1CCC(/C=C/c2ccc(Cl)cc2)CC1,Active
CHEMBL4576799,C#CCN1CCC(/C=C/c2ccc(F)cc2)CC1,Active
CHEMBL4471244,C#CCN1CCC(/C=C/c2ccc(F)cc2Cl)CC1,Active
CHEMBL4564672,C#CCN1CCC(/C=C/c2ccc(OC)cc2)CC1,Active
CHEMBL4440827,C#CCN1CCC(/C=C/c2ccc(S(C)(=O)=O)cc2)CC1,Active
CHEMBL4446154,C#CCN1CCC(/C=C/c2cccc(C(F)(F)F)c2)CC1,Active
CHEMBL4562988,C#CCN1CCC(CCc2cc(F)c(F)cc2F)CC1,Active
CHEMBL4540242,C#CCN1CCC(CCc2ccc(C#N)cc2)CC1,Active
CHEMBL4558431,C#CCN1CCC(CCc2ccc(C(C)C)cc2)CC1,Active
CHEMBL4465204,C#CCN1CCC(CCc2ccc(C(F)(F)F)cc2)CC1,Active
CHEMBL4548398,C#CCN1CCC(CCc2ccc(C)cc2)CC1,Active
CHEMBL4535439,C#CCN1CCC(CCc2ccc(CCC)cc2)CC1,Active
CHEMBL4589551,C#CCN1CCC(CCc2ccc(Cl)cc2)CC1,Active
CHEMBL4534686,C#CCN1CCC(CCc2ccc(F)cc2)CC1,Active
