"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"Q00535","Cyclin-dependent kinase 5","Ki","CHEMBL1983111","CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12","Active"
"Q00535","Cyclin-dependent kinase 5","Ki","CHEMBL1968930","CC(C)(CN)CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL1234833","CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3775509","CC(C)c1n[nH]c2c(NCc3ccc(-c4ccccn4)cc3)nc(N3CCOCC3)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3775792","CC(C)c1n[nH]c2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC(C)(C)O)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3775608","CC(C)c1n[nH]c2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC(N)CO)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3775677","CC(C)c1n[nH]c2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC(O)CO)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3775470","CC(C)c1n[nH]c2c(NCc3ccc(-c4ccccn4)cc3)nc(NCCN)nc12","Active"
"Q00535","Cyclin-dependent kinase 5","Ki","CHEMBL1977138","CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3774632","CC(O)CNc1nc(NCc2ccc(-c3ccccn3)cc2)c2[nH]nc(C(C)C)c2n1","Active"
"Q00535","Cyclin-dependent kinase 5","IC50","CHEMBL3774932","CCC(CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2[nH]nc(C(C)C)c2n1","Active"
"Q00535","Cyclin-dependent kinase 5","Ki","CHEMBL1977223","CCCC(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12","Active"
"Q00535","Cyclin-dependent kinase 5","Ki","CHEMBL1983348","CCCCN(CCC#N)C(=O)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1","Active"
