chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL3681949,C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,839.3312471480001,12,5,6.878000000000006,Active
CHEMBL4452399,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)c(C)c2)ncc1C(=O)Nc1c(C)cccc1Cl,610.25715004,8,4,6.362640000000005,Active
CHEMBL4562024,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1-c1ccc(C(C)=O)cc1,547.2695732960001,8,3,5.709700000000005,Active
CHEMBL4442889,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1-c1ccc(Oc2ccccc2)cc1,597.28522336,8,3,7.2994000000000065,Active
CHEMBL4574265,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1-c1cccs1,511.2154295480001,8,3,5.568600000000004,Active
CHEMBL4442593,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cc(C#N)cc1Cl,621.236748944,9,4,5.925900000000005,Active
CHEMBL4453645,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cc(C)cc1Cl,610.25715004,8,4,6.362640000000005,Active
CHEMBL4436957,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cc(Cl)cc1Cl,630.2025276240001,8,4,6.707620000000006,Active
CHEMBL4515441,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cccc1Cl,596.2414999760001,8,4,6.054220000000005,Active
CHEMBL4462060,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1OCc1c(C)cccc1Cl,583.2462510080002,8,3,6.380920000000006,Active
CHEMBL4460150,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1OCc1ccc(C)cc1,549.28522336,8,3,5.7275200000000055,Active
CHEMBL4569421,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1OCc1ccc(Oc2ccccc2)cc1,627.295788044,9,3,7.2114000000000065,Active
CHEMBL4442601,C=CC(=O)Nc1ccccc1Nc1nc(Nc2cccc(N3CCN(C)CC3)c2)ncc1C(=O)Nc1c(C)cccc1Cl,596.2414999760001,8,4,6.054220000000005,Active
CHEMBL4470506,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccccc2N2CCN(C)CC2)ncc1C(=O)Nc1c(C)cccc1Cl,596.2414999760001,8,4,6.054220000000005,Active
CHEMBL4537568,C=CS(=O)(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cccc1Cl,632.2084855960002,9,4,5.814920000000004,Active
CHEMBL3899497,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3cc(Nc4ccc5[nH]ncc5c4)ncn3)c3ccccc23)n(-c2ccc(=O)n(CCO)c2)n1,670.2764495680001,11,5,6.323200000000008,Active
CHEMBL3919491,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3cc(Nc4ccc5[nH]ncc5c4)ncn3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,738.3390498240001,11,4,7.880200000000009,Active
CHEMBL3918561,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]c(=O)oc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,755.317980032,12,4,7.438400000000009,Active
CHEMBL3899975,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ccc5c4)n3)c3ccccc23)n(-c2ccc(O)cc2)n1,624.2597368840001,8,5,8.479800000000003,Active
CHEMBL3949262,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ccc5c4)n3)c3ccccc23)n(-c2cccc(CN3CCCC3=O)c2)n1,705.317586108,8,4,8.896600000000003,Active
CHEMBL3965728,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)c3)c3ccccc23)n(-c2cccc(OCCN3CCOCC3)c2)n1,737.343800856,10,4,8.485200000000006,Active
CHEMBL3949420,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(=O)n(CCN3CCOCC3)c2)n1,739.334298792,12,4,6.663100000000006,Active
CHEMBL3894106,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(O)cc2)n1,625.254985852,9,5,7.874800000000008,Active
CHEMBL3931027,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,738.3390498240001,11,4,7.880200000000009,Active
CHEMBL3966684,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2cccc(CN3CCCC3=O)c2)n1,706.312835076,9,4,8.291600000000006,Active
CHEMBL3920935,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2cccc(OCCN3CCOCC3)c2)n1,738.3390498240001,11,4,7.880200000000009,Active
CHEMBL3899391,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]nnc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,739.3342987920001,12,4,7.275200000000009,Active
CHEMBL3958095,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)CCC5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,738.3642019520001,10,3,8.492600000000007,Active
CHEMBL3938312,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)COC5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,740.343466508,11,3,8.03410000000001,Active
CHEMBL3914683,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)CS(=O)(=O)C5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,788.3104521279998,12,3,7.432300000000009,Active
CHEMBL3969828,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)NC(=O)C5(C)C)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,781.370015604,11,4,8.233600000000008,Active
CHEMBL3933807,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)OCCO5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,756.3383811279999,12,3,7.775100000000009,Active
CHEMBL3976445,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)OCO5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,742.322731064,12,3,7.732600000000009,Active
CHEMBL3979828,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5ncsc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,755.3002217920001,12,3,8.613600000000005,Active
CHEMBL4110557,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5oc(=O)[nH]c5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,755.317980032,12,4,7.438400000000009,Active
CHEMBL3909641,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5scnc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,755.300221792,12,3,8.613600000000005,Active
CHEMBL3984798,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5sncc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,755.300221792,12,3,8.613600000000005,Active
CHEMBL3695570,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ncccc23)n(-c2ccccc2)n1,534.2127866920001,7,4,5.718900000000004,Active
CHEMBL3695591,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c(Cl)c2Cl)n(-c2ccc(CO)cc2)n1,593.13450764,8,4,6.036700000000005,Active
