chembl_id_ligand,smiles,activity_type
CHEMBL3426233,C=CC(=O)N1CCC(n2nc(C#Cc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)c3c(N)ncnc32)CC1,Active
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Active
CHEMBL3647967,C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,Active
CHEMBL3604921,C=CC(=O)Nc1cccc(Oc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)c1,Active
CHEMBL3604937,C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,Active
CHEMBL4563120,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1-c1ccc(OC)nc1,Active
CHEMBL4538743,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1-c1ccoc1,Active
CHEMBL3883384,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl,Active
CHEMBL386996,CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(F)ccc5c4OCO5)ncnc3c2)CC1,Active
CHEMBL421518,CC(=O)N[C@@H](Cc1ccc(C(C(=O)O)C(=O)O)c(C(=O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,Active
CHEMBL1160756,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,Active
CHEMBL78455,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)c(C=O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,Active
CHEMBL25826,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,Active
CHEMBL433046,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3C#N)cc2)C1=O,Active
CHEMBL281775,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3cccs3)cc2)C1=O,Active
CHEMBL231251,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,Active
CHEMBL3651220,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,Active
CHEMBL3335371,CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc2cccc(C(C)(C)C)c2)n3C)ccn1,Active
CHEMBL422565,CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccc(O)cc3)c3c(N)ncnc32)C1,Active
CHEMBL168921,CC(C)(C)OC(=O)N1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1,Active
CHEMBL169043,CC(C)(C)OC(=O)N1C[C@@H](n2cc(-c3ccc(O)cc3)c3c(N)ncnc32)C[C@@H]1CO,Active
CHEMBL474825,CC(C)(C)OC(=O)N1C[C@H](n2cc(-c3ccc(O)cc3)c3c(N)ncnc32)C[C@H]1CO,Active
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,Active
CHEMBL213762,CC(C)COc1cc(OC2CCN(C)CC2)c2c(Nc3c(Cl)ccc4c3OCO4)ncnc2c1,Active
CHEMBL2151321,CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,Active
CHEMBL436968,CC(C)Oc1cc(OCCN2CCOCC2)cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c12,Active
CHEMBL3393071,CC(C)Sc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,Active
CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,Active
CHEMBL1241484,CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,Active
CHEMBL1242377,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,Active
CHEMBL1230790,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,Active
CHEMBL1242110,CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,Active
CHEMBL1242293,CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,Active
CHEMBL3921542,CC(C)n1nc(Cc2cccc(C(=O)CF)c2)c2c(N)ncnc21,Active
CHEMBL4294817,CC(Cn1ncc2c(Nc3cc(O)ccc3Cl)nc(NCCO)nc21)c1ccccc1,Active
