chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL3654718,C/C=C/c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,321.15896022800007,3,3,3.873700000000002,Active
CHEMBL4107053,C=C(C)C1CC(CNc2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)C1,404.232459516,4,4,4.854800000000003,Active
CHEMBL3675720,C=C(c1ccc(Cl)c(F)c1)n1ccc(-c2ccnc(Nc3ccnc(C)c3)n2)cc1=O,433.11056606400007,6,1,5.063820000000004,Active
CHEMBL3680615,C=C(c1ccc(Cl)c(F)c1)n1ccc(-c2ccnc(Nc3ccnn3CC)n2)cc1=O,436.12146509600007,7,1,4.576800000000004,Active
CHEMBL3590121,C=CC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1C(F)(F)F,407.15690954,6,3,3.9544000000000024,Active
CHEMBL3590118,C=CC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1Cl,373.13055256,6,3,3.5890000000000013,Active
CHEMBL3590123,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccnn2C)ncc1Cl,369.11048581200004,7,3,3.475200000000001,Active
CHEMBL3590120,C=CC(=O)Nc1cnccc1Nc1nc(NC2CCOCC2)ncc1Cl,374.125801528,7,3,2.984000000000001,Active
CHEMBL3590110,C=CS(=O)(=O)Nc1ccc2[nH]nc(-c3ccncc3)c2c1,300.06809662399996,4,2,2.5101000000000004,Active
CHEMBL4111970,CC(=O)N1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)n2)CC1,511.178645624,6,3,3.707600000000003,Active
CHEMBL4114403,CC(=O)N1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4ccccc4)c(F)c3)n2)CC1,477.217617976,6,3,3.0542000000000016,Active
CHEMBL3924521,CC(=O)N1CCCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4ccccc4)c(F)c3)n2)C1,477.217617976,6,3,3.0542000000000016,Active
CHEMBL3890881,CC(=O)NC1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)n2)CC1,525.194295688,6,4,4.144000000000002,Active
CHEMBL4108926,CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Br)c1,573.1187082320001,6,3,4.267700000000003,Active
CHEMBL4111729,CC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cccc(Cl)c1,525.194295688,6,4,4.144000000000002,Active
CHEMBL4109963,CC(=O)N[C@H]1CC[C@@H](c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)n2)CC1,525.194295688,6,4,4.144000000000002,Active
CHEMBL4111068,CC(=O)Nc1n[nH]c2c(F)c(NC(=O)N[C@H](C)c3ccccc3)ncc12,356.13970200400007,4,4,2.9381000000000004,Active
CHEMBL3977991,CC(=O)Nc1n[nH]c2cc(NC(=O)N[C@@H](C)c3ccccc3)ncc12,338.14912381600004,4,4,2.7990000000000004,Active
