chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL4794096,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(C#N)cc32)c1C,405.21647510400004,4,3,3.067520000000001,Active
CHEMBL4800500,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(CCO)cc32)c1C,424.24744088399996,4,4,2.730640000000001,Active
CHEMBL3895006,CCOc1cnc(CN2CCC(c3ccc4c(c3)cc(C(=O)N3CCN(Cc5ccc(C#N)cc5)CC3)n4C)CC2)cn1,577.316523488,8,0,4.576280000000004,Active
CHEMBL3955171,CCOc1cnc(CN2CCC(c3ccc4cc(C(=O)N5CCN(Cc6ccc(C#N)cc6)CC5)n(C)c4c3)CC2)cn1,577.316523488,8,0,4.576280000000004,Active
CHEMBL3966762,COc1ccc(CN2CCC(c3ccc4nc(C(=O)N5CCN(Cc6ccc(C#N)cc6)CC5)[nH]c4c3)CC2)cn1,549.28522336,7,1,4.175780000000003,Active
CHEMBL3916942,COc1ccc(CN2CCC(c3ccc4nc(C(=O)N5CCN(Cc6ccc7c(c6)OC(F)(F)O7)CC5)[nH]c4c3)CC2)cn1,604.260960008,8,1,4.625600000000004,Active
CHEMBL3950327,COc1cnc(CN2CCC(c3ccc4[nH]c(C(=O)N5CCN(Cc6ccc(C(F)(F)F)cc6)CC5)nc4c3)CC2)cn1,593.2726079880001,7,1,4.717900000000004,Active
CHEMBL3983813,COc1cnc(CN2CCC(c3ccc4c(c3)cc(C(=O)N3CCN(Cc5ccc(C#N)cc5)CC3)n4C)CC2)cn1,563.3008734240001,8,0,4.186180000000004,Active
CHEMBL3941150,COc1cnc(CN2CCC(c3ccn4nc(C(=O)N5CCN(Cc6ccc(C(F)(F)F)cc6)CC5)cc4c3)CC2)cn1,593.2726079880001,8,0,4.489300000000004,Active
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,346.121194816,7,2,1.4502999999999997,Inactive
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,457.16377083599997,6,2,4.128800000000003,Inactive
CHEMBL1242297,Cc1cc(-c2ccc(/C=C3\S/C(=N\c4ccc(Cl)c(C(=O)O)c4)NC3=O)o2)c([N+](=O)[O-])cc1C,497.0448339119999,7,2,5.714840000000004,Inactive
CHEMBL507249,O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,327.20591042000007,5,3,3.239700000000002,Inactive
CHEMBL4788980,CCN(CC)CCCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,412.227454388,3,3,3.7250400000000017,Intermediate
CHEMBL4782796,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3cc(Br)ccc32)c1C,458.131738204,3,3,3.9583400000000015,Intermediate
