"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL3182647","C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1","Active"
"P07948","Tyrosine-protein kinase Lyn","IC50","CHEMBL1873475","C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1","Active"
"P07948","Tyrosine-protein kinase Lyn","IC50","CHEMBL3647967","C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1","Active"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL1972584","CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1","Active"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL1967720","CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1","Active"
"P07948","Tyrosine-protein kinase Lyn","IC50","CHEMBL1808264","CC(C)c1nc(-c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1","Active"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL2002165","CC(O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1","Active"
"P07948","Tyrosine-protein kinase Lyn","IC50","CHEMBL1163016","CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O]","Active"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL1993941","CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1","Active"
"P07948","Tyrosine-protein kinase Lyn","IC50","CHEMBL281957","CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C","Active"
"P07948","Tyrosine-protein kinase Lyn","Ki","CHEMBL2004716","CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12","Active"
