"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL431440","CC(C)(CNC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)c1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL324827","CC(CNC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)c1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL112512","CCC(CNC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)c1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL304462","COc1ccc2nc3c(c(C)nn3[C@H]3CN(Sc4ccccc4[N+](=O)[O-])C[C@@H](CO[Si](C)(C)C(C)(C)C)O3)c(Cl)c2c1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL114281","C[C@@H](CNC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)c1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL115669","C[C@H](CNC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)c1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL325073","C[C@H](Cc1ccccc1)NC(=O)CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL536328","Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5[nH]4)cn3C)cn2C)cc1C(=O)NCCC(=N)N","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL552863","Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5n4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N","Active"
"P01112","Transforming protein p21/H-Ras-1","IC50","CHEMBL540313","Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5o4)cn3C)cn2C)cc1C(=O)NCCC(=N)N","Active"
