"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P07900","Heat shock protein HSP 90-alpha","Ki","CHEMBL3401157","C#CCCCN1CCc2c(C)c3c(n2-c2cc(Cl)c(C(N)=O)cc21)CC(C)(C)CC3=O","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL112953","C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL193282","C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL192647","C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL192145","C#CCCCn1c(Sc2cc(OC)ccc2Br)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL192062","C#CCCCn1c(Sc2cc(OC)ccc2Cl)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL191635","C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL273986","C#CCCCn1c(Sc2cc(OC)ccc2OC)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","EC50","CHEMBL365159","C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","Ki","CHEMBL3401152","C#CCN1CCc2c(C)c3c(n2-c2cc(Cl)c(C(N)=O)cc21)CC(C)(C)CC3=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL2205245","C#Cc1cn(Cc2ncc(C)c(OC)c2C)c2nc(N)nc(Cl)c12","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL3661182","C=C(C)c1cc(C(N)=O)ccc1-n1nc(C(F)(F)F)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","Ki","CHEMBL109480","C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL3661114","C=Cc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL3656954","C=Cc1cn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2nccc(-c3cnc4ccccc4c3)c12","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL3656971","CC(=O)N(c1cc(-n2nc(C(C)C)c3c(-c4cnc5ccccc5c4)ccnc32)ccc1C(N)=O)C1CCNCC1","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL1807796","CC(=O)N1CCCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)[C@@H]1C)CC(C)(C)CC3=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL4790736","CC(=O)N1CCN(c2ncc3c(n2)CCN(C(=O)c2cc(C(C)C)c(O)cc2O)C3)CC1","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL1779535","CC(=O)N1CCN2CCCc3c(C)c4c(n3-c3ccc(C(N)=O)c(c3)NC[C@H]2C1)CC(C)(C)CC4=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL1760614","CC(=O)N1CCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)CC1)CC(C)(C)CC3=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL1807797","CC(=O)N1CCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)[C@H](C)C1)CC(C)(C)CC3=O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL1801572","CC(=O)NCc1ccc2c(c1)[nH]c(=O)n2-c1cc(Cl)c(O)cc1O","Active"
"P07900","Heat shock protein HSP 90-alpha","IC50","CHEMBL3656960","CC(=O)N[C@H]1CC[C@H](Nc2cc(-n3cc(C)c4c(-c5cnc6ccccc6c5)ccnc43)ccc2C(N)=O)CC1","Active"
