chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL558775,CCCCCCCCCCCCC(=O)N1CCC(C2CCNCC2)CC1,364.345364028,2,1,5.535600000000005,Inactive
CHEMBL536732,CCCCCCCCCCCCCCC(=O)N1CCC(CCC2CCN(C)CC2)CC1,434.423614348,2,0,7.438200000000008,Inactive
CHEMBL541384,CCCCCCCCCCCCCCC(=O)N1CCC(N)CC1,324.3140639,2,1,5.027300000000004,Inactive
CHEMBL3217083,CCCCCCCCCCCCCCC(=O)N1CCN(N)CC1,325.309312868,3,1,4.095500000000002,Inactive
CHEMBL536730,CCCCCCCCCCCCCCC(=O)NC1CCNCC1,324.3140639,2,2,4.945800000000004,Inactive
CHEMBL3215538,CCCCCCCCCCCCCCC(=O)NN1CCNCC1,325.309312868,3,2,4.014000000000002,Inactive
CHEMBL535605,CCCCCCCCCCCCCCCCC(=O)N1CCC(C2CCN(C)CC2)CC1,434.423614348,2,0,7.438200000000009,Inactive
CHEMBL535378,CCCCCCCCCCCCCCCCC(=O)N1CCC(C2CCNCC2)CC1,420.407964284,2,1,7.096000000000008,Inactive
CHEMBL3216412,CCCCCCCCCCCCCCCCCN1CCC(C2CCNCC2)CC1,406.42869972799997,2,1,7.569400000000009,Inactive
CHEMBL3216194,CCCCCCCCCCCCCCCN1CCC(C2CCNCC2)CC1,378.39739959999997,2,1,6.789200000000007,Inactive
CHEMBL3216190,CCCCCCCCCCCCCCCN1CCC(CCC2CCNCC2)CC1,406.42869972799997,2,1,7.569400000000009,Inactive
CHEMBL3216388,CCCCCCCCCCCCCCCN1CCC(N)CC1,310.334799344,2,1,5.500700000000005,Inactive
CHEMBL536279,CCCCCCCCCCCCCCCN1CCC(NC2CCNCC2)CC1,393.408298632,3,2,5.883600000000006,Inactive
CHEMBL3216626,CCCCCCCCCCCCCCCNC(=O)C1CCN(CCN)CC1,381.37191312400006,3,2,4.864500000000003,Inactive
CHEMBL3215526,CCCCCCCCCCCCCCCNC1CCNCC1,310.334799344,2,2,5.4192000000000045,Inactive
CHEMBL541892,CCCCCCCCCCCCCCCNCC1CCN(CCN)CC1,367.392648568,3,2,5.337900000000004,Inactive
CHEMBL3216386,CCCCCCCCCCCCCCCNCC1CCNCC1,324.350449408,2,2,5.666800000000005,Inactive
CHEMBL559378,CCCCCCCCCCCCCCCNN1CCNCC1,311.33004831200003,3,2,4.487400000000003,Inactive
CHEMBL194324,CCCCCCCCCCCCCCC[N+]1(C)CCC(C2CCNCC2)CC1,393.42032611609005,1,1,6.933800000000008,Inactive
CHEMBL3215755,CCCCCCCCCCCCCN1CCC(C2CCN(C)CC2)CC1,364.381749536,2,0,6.3512000000000075,Inactive
CHEMBL3215747,CCCCCCCCCCCCCN1CCC(C2CCNCC2)CC1,350.366099472,2,1,6.009000000000006,Inactive
CHEMBL3217075,CCCCCCCCCCCCCNC1CCNCC1,282.303499216,2,2,4.639000000000003,Inactive
CHEMBL197748,CCCCCCCCCCCCNC(=O)C(N)CCCCN,313.309312868,3,3,3.479800000000001,Inactive
CHEMBL537414,CCCCCCCCCCCCCCC(=O)N1CCC(C2CCN(C)CC2)CC1,406.39231422,2,0,6.6580000000000075,Intermediate
CHEMBL536963,CCCCCCCCCCCCCCC(=O)N1CCC(C2CCNCC2)CC1,392.376664156,2,1,6.3158000000000065,Intermediate
CHEMBL537413,CCCCCCCCCCCCCCC(=O)N1CCC(CCC2CCNCC2)CC1,420.407964284,2,1,7.096000000000007,Intermediate
CHEMBL536731,CCCCCCCCCCCCCCCN1CCN(N)CC1,311.33004831200003,3,1,4.568900000000003,Intermediate
CHEMBL537639,CCCCCCCCCCCCCCCNC(=O)C1CCN(CCNC=O)CC1,409.36682774400003,3,2,4.651800000000003,Intermediate
CHEMBL536499,CCCCCCCCCCCCCCCNC(=O)C1CCNCC1,338.329713964,2,2,5.193400000000004,Intermediate
