chembl_id_ligand,smiles,activity_type
CHEMBL1928536,C#Cc1ccn2ncc(/C=N/N(C)S(=O)(=O)c3cc([N+](=O)[O-])ccc3C)c2c1,Active
CHEMBL1928550,C/C(=N\NS(=O)(=O)c1cc([N+](=O)[O-])ccc1C)c1cnn2ccc(Br)cc12,Active
CHEMBL1928547,C/C(=N\NS(=O)(=O)c1cc([N+](=O)[O-])ccc1C)c1cnn2ccc(C#N)cc12,Active
CHEMBL3698351,C=C(c1ccccc1)c1nc2cc(F)cc(F)c2c(N2CC(C)(C)c3ncc(N4CCOCC4)cc32)c1C,Active
CHEMBL4740055,C=CC(=O)Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)c3cc(CN4CCN(S(C)(=O)=O)CC4)cn3n2)cn1,Active
CHEMBL3648911,C=CCn1c(=O)c(-c2ccc(OC)nc2)cc2c(C)nc(NC)nc21,Active
CHEMBL3701679,C=Cc1nc2c(cc1N1CCOCC1)N(c1c(C)c(-c3ccccn3)nc3cc(F)ccc13)CC21CCOCC1,Active
CHEMBL4472331,CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,Active
CHEMBL1090599,CC(=O)N(C)Cc1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,Active
CHEMBL1091979,CC(=O)N(C)Cc1sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2c1C,Active
CHEMBL4454271,CC(=O)N(C)[C@H]1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,Active
CHEMBL2331662,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(C)nc5)nc4c32)CC1,Active
CHEMBL3681121,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,Active
CHEMBL3681165,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N)nc5)nc4c32)CC1,Active
CHEMBL3681168,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(S(C)(=O)=O)cc5)nc4c32)CC1,Active
CHEMBL3681169,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc(-n6cccn6)c5)nc4c32)CC1,Active
CHEMBL2331667,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc6[nH]ncc56)nc4c32)CC1,Active
CHEMBL3681171,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6[nH]ncc56)nc4c32)CC1,Active
CHEMBL3681170,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6ncccc56)nc4c32)CC1,Active
CHEMBL2331668,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,Active
CHEMBL3681139,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnn(C)c5)nc4c32)CC1,Active
CHEMBL3660106,CC(=O)N1CCCN(c2ncnc(C)c2C#Cc2cnc(C)c(NS(=O)(=O)c3ccccc3)c2)CC1,Active
CHEMBL3655871,CC(=O)N1CCN(c2ncnc(C)c2C#Cc2cnc(C)c(NS(=O)(=O)c3ccc(F)cc3F)c2)CC1,Active
CHEMBL3660105,CC(=O)N1CCN(c2ncnc(C)c2C#Cc2cnc(C)c(NS(=O)(=O)c3ccccc3)c2)CC1,Active
CHEMBL1086403,CC(=O)NCc1cc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2s1,Active
CHEMBL2381263,CC(=O)NCc1ccc2c(c1)OCCc1sc(-c3ncnn3C(C)C)nc1-2,Active
CHEMBL3906903,CC(=O)Nc1ccc(-c2ccc3ncc4c(c3n2)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C4)cn1,Active
CHEMBL1760155,CC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1,Active
CHEMBL3646451,CC(=O)Nc1ccc(Nc2ncc(Cc3ccc(S(C)(=O)=O)cc3)cc2-c2nc(C)nc3[nH]cnc23)cn1,Active
CHEMBL1796273,CC(=O)Nc1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccccc3Cl)sc1-2,Active
CHEMBL1822057,CC(=O)Nc1cn2cc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,Active
CHEMBL2418954,CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1,Active
CHEMBL3753450,CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1,Active
CHEMBL3753366,CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C)n3)ccc2n1,Active
CHEMBL3752019,CC(=O)Nc1cn2cc(-c3cnc(N)c(OCC(F)(F)F)n3)ccc2n1,Active
CHEMBL1914475,CC(=O)Nc1cn2cc(/C=C3\SC(=O)NC3=O)ccc2n1,Active
CHEMBL1822054,CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,Active
CHEMBL2418953,CC(=O)Nc1cn2nc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1,Active
CHEMBL2071333,CC(=O)Nc1nc(C)c(-c2ccc(-n3cccn3)cc2)s1,Active
CHEMBL2071329,CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(Br)c2)s1,Active
CHEMBL2071332,CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C(F)(F)F)c2)s1,Active
CHEMBL2204791,CC(=O)Nc1nc(C)c(-c2cnc(C(C)(C)C)o2)s1,Active
CHEMBL4174132,CC(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,Active
CHEMBL1773572,CC(=O)Nc1nc2ccc(-c3ccnc(NC(C)(C)c4ccccc4)n3)cc2s1,Active
CHEMBL1822060,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2[nH]1,Active
CHEMBL1615189,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,Active
CHEMBL1773736,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(F)c4)c3)cc2s1,Active
CHEMBL1773605,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc2s1,Active
CHEMBL2418948,CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1,Active
CHEMBL1765461,CC(=O)c1cnc2ccc(-c3cncc(NS(=O)(=O)c4ccccc4)c3)cn12,Active
CHEMBL3901131,CC(C)(C)OC(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,Active
CHEMBL3647511,CC(C)(C)c1cc(-c2cnc(NC(=O)N3CCCC3C(N)=O)s2)ccn1,Active
CHEMBL3609516,CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC[C@@]3(C)C(N)=O)sc1-2,Active
CHEMBL3609514,CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC[C@H]3C(N)=O)sc1-2,Active
CHEMBL3609517,CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CC[C@@H]4C[C@@]43C(N)=O)sc1-2,Active
CHEMBL3609523,CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCC[C@@]3(C)C(N)=O)nc1CC2,Active
CHEMBL3609522,CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCC[C@H]3C(N)=O)nc1CC2,Active
CHEMBL3609524,CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CC[C@@H]4C[C@@]43C(N)=O)nc1CC2,Active
CHEMBL3647510,CC(C)(C)c1nccc(-c2cnc(NC(=O)N3CCCC3C(N)=O)s2)n1,Active
CHEMBL3932221,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,Active
CHEMBL1090600,CC(C)(N)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,Active
CHEMBL2381379,CC(C)(O)Cn1cc(-c2ccc3c(c2)OCCc2sc(-c4ncnn4CC(F)(F)F)nc2-3)cn1,Active
