chembl_id_ligand,smiles,activity_type
CHEMBL1774961,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NCCNC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774960,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NCCOC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774954,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccccc1)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774959,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)CCC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774964,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)NCCNC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774963,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)NCCOC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774955,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccccc1)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774962,C/C(=C\C(=O)N[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)N[C@H](C)CCC(N)=O)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774970,C/C(=C\C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCCNC(N)=O)C3)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774969,C/C(=C\C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCCOC(N)=O)C3)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774958,C/C(=C\C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccccc1)C3)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL1774968,C/C(=C\C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)N[C@H](C)CCC(N)=O)C3)c1ccc(OP(=O)(O)O)cc1,Active
CHEMBL3628243,C/C=C(\C)C(=O)OCC1=C2/C(=C\[C@@]3(C)CC[C@](O)(O3)[C@H](C)C[C@@H]2OC(=O)/C(C)=C/C)OC1=O,Active
CHEMBL3628244,C/C=C(\C)C(=O)OCC1=C2/C(=C\[C@@]3(C)CC[C@](OC)(O3)[C@H](C)C[C@@H]2OC(=O)/C(C)=C/C)OC1=O,Active
CHEMBL207155,C1=Cc2nc1cc1ccc([nH]1)c(-c1ccccc1)c1nc(cc3ccc([nH]3)c2-c2ccccc2)C=C1,Active
CHEMBL3581712,C=C(C)C(=O)CC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,Active
CHEMBL3581710,C=C(C)C(=O)CC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,Active
CHEMBL4168778,C=C1CC[C@H]2[C@@](C)(CCC(=O)[C@@]2(C)CO[Si](C)(C)C(C)(C)C)[C@@H]1C/C=C1/C(=O)OC[C@H]1OC(C)=O,Active
CHEMBL4740393,C=CCn1c(SCC(=O)Nc2ccc(/C(C)=N\O)cc2)nnc1-c1cc(-c2ccc(Cl)cc2)nc2ccccc12,Active
CHEMBL4747318,C=CCn1c(SCC(=O)Nc2ccc(/C(C)=N\O)cc2)nnc1-c1cc(-c2ccccc2)nc2ccccc12,Active
CHEMBL4538737,CC(=O)N1CC[C@H]2CC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NC(c3ccccc3)c3ccccc3)N2C(=O)[C@@H](NC(=O)/C=C(\C)c2ccc(C(F)(F)P(=O)(O)O)cc2)C1,Active
CHEMBL4575382,CC(=O)N1CC[C@H]2CC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NC(c3ccccc3)c3ccccc3)N2C(=O)[C@@H](NC(=O)c2cc3cc(C(F)(F)P(=O)(O)O)ccc3[nH]2)C1,Active
CHEMBL4567312,CC(=O)N1CC[C@H]2CC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NC(c3ccccc3)c3ccccc3)N2C(=O)[C@@H](NC(=O)c2cc3cc(CP(=O)(O)O)ccc3[nH]2)C1,Active
CHEMBL4443240,CC(=O)N1CC[C@H]2CC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NC(c3ccccc3)c3ccccc3)N2C(=O)[C@@H](NC(=O)c2cc3cc(OP(=O)(O)O)ccc3[nH]2)C1,Active
