chembl_id_ligand,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL366543,C/C(S)=N/[C@@H]1CCCCNC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(OP(=O)(O)O)cc2)NC1=O,838.3448622100001,10,9,-0.1648999999999901,Active
CHEMBL433805,C/C(S)=N/[C@H]1CCCCNC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(OP(=O)(O)O)cc2)NC1=O,838.3448622100001,10,9,-0.1648999999999901,Active
CHEMBL355776,CC(=O)N[C@@H](Cc1ccc(C(C(=O)O)C(=O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccccc23)CCCCC1,715.32172802,7,7,2.0681000000000025,Active
CHEMBL368263,CC(=O)N[C@@H](Cc1ccc(C(C(=O)O)C(=O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCn2ccc3cc(C)ccc32)CCCCC1,718.332627052,8,7,1.635520000000003,Active
CHEMBL443564,CC(=O)N[C@@H](Cc1ccc(C(F)(C(=O)O)C(=O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccccc23)CCCCC1,733.312306208,7,7,2.149300000000003,Active
CHEMBL115699,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccccc23)CCCCC1,743.289556438,6,7,3.042300000000001,Active
CHEMBL308867,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)C(O)c2ccccc2)cc1)C(=O)NC1(C(=O)N[C@@H]2CCCC[C@@H]2C(N)=O)CCCCC1,640.30258641,6,6,3.1747000000000005,Active
CHEMBL276046,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2c(O)ccc3ccccc23)CCCCC1,723.3033146820001,7,8,2.1986000000000017,Active
CHEMBL71034,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2c[nH]c3ccccc23)CCCCC1,696.3036490300001,6,8,1.8211000000000022,Active
CHEMBL19378,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2ccc3cccc(O)c3c2)CCCCC1,723.3033146820001,7,8,2.1986000000000008,Active
CHEMBL278567,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3cc(O)ccc23)CCCCC1,723.3033146820001,7,8,2.1986000000000008,Active
CHEMBL276300,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccc(O)cc23)CCCCC1,723.3033146820001,7,8,2.1986000000000008,Active
CHEMBL19417,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccccc23)CCCCC1,707.308400062,6,7,2.493000000000002,Active
CHEMBL72996,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cn(C)c3ccccc23)CCCCC1,710.319299094,7,7,1.8315000000000023,Active
CHEMBL72437,CC(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCn2c(C)cc3ccccc32)CCCCC1,710.319299094,7,7,2.0604200000000024,Active
