molecule_chembl_id,type,relation,value,units,value_nM
CHEMBL315013,IC50,=,0.219,uM,219.0
CHEMBL155754,IC50,=,0.23,uM,230.0
CHEMBL314658,IC50,=,0.75,uM,750.0
CHEMBL87170,IC50,=,0.0046,uM,4.6
CHEMBL87959,IC50,=,0.39,uM,390.0
CHEMBL87295,IC50,=,2.57,uM,2570.0
CHEMBL82810,IC50,=,0.04,uM,40.0
CHEMBL157182,IC50,=,0.67,uM,670.0
CHEMBL88049,IC50,=,0.11,uM,110.0
CHEMBL87128,IC50,=,0.28,uM,280.0
CHEMBL160219,IC50,=,0.16,uM,160.0
CHEMBL445916,IC50,=,0.23,uM,230.0
CHEMBL85473,IC50,=,19.58,uM,19580.0
CHEMBL314502,IC50,>,1.0,uM,1000.0
CHEMBL87320,IC50,=,0.053,uM,53.0
CHEMBL87280,IC50,=,1.0,uM,1000.0
CHEMBL348607,IC50,=,3.17,uM,3170.0
CHEMBL313809,IC50,=,0.52,uM,520.0
CHEMBL87849,IC50,=,0.0026,uM,2.6
CHEMBL314398,IC50,=,0.12,uM,120.0
CHEMBL87373,IC50,=,0.11,uM,110.0
CHEMBL156931,IC50,=,3.36,uM,3360.0
CHEMBL83005,IC50,=,0.09,uM,90.0
CHEMBL315515,IC50,=,0.028,uM,28.0
CHEMBL441632,IC50,=,0.9,uM,900.0
CHEMBL87937,IC50,=,0.03,uM,30.0
CHEMBL441808,IC50,=,0.38,uM,380.0
CHEMBL87649,IC50,=,0.006,uM,6.0
CHEMBL160836,IC50,=,0.14,uM,140.0
CHEMBL156861,IC50,=,0.18,uM,180.0
CHEMBL314766,IC50,=,0.054,uM,54.0
CHEMBL315013,IC50,=,0.665,uM,665.0
CHEMBL88026,IC50,=,0.008,uM,8.0
CHEMBL86233,IC50,=,10.0,uM,10000.0
CHEMBL155350,IC50,=,0.16,uM,160.0
CHEMBL433041,IC50,=,0.009,uM,9.0
CHEMBL155863,IC50,=,3.84,uM,3840.0
CHEMBL87980,IC50,=,0.54,uM,540.0
CHEMBL87441,IC50,=,0.007,uM,7.0
CHEMBL315013,IC50,=,0.043,uM,43.0
CHEMBL158946,IC50,=,0.06,uM,60.0
CHEMBL315013,IC50,=,0.19,uM,190.0
CHEMBL87550,IC50,=,2.67,uM,2670.0
CHEMBL609440,IC50,=,0.0045,uM,4.5
CHEMBL350464,IC50,=,5.68,uM,5680.0
CHEMBL313271,IC50,=,0.032,uM,32.0
CHEMBL423313,IC50,=,0.079,uM,79.0
CHEMBL309667,IC50,=,10.9,nM,10.9
