molecule_chembl_id,pchembl_value,relation,type,units,value
CHEMBL133897,6.12,=,IC50,uM,0.75
CHEMBL336398,7.00,=,IC50,uM,0.1
CHEMBL131588,,>,IC50,uM,50.0
CHEMBL130628,6.52,=,IC50,uM,0.3
CHEMBL130478,6.10,=,IC50,uM,0.8
CHEMBL130112,5.62,=,IC50,uM,2.4
CHEMBL130098,7.00,=,IC50,uM,0.1
CHEMBL337486,,>,IC50,uM,50.0
CHEMBL336538,6.10,=,IC50,uM,0.8
CHEMBL131051,,>,IC50,uM,50.0
CHEMBL341437,,>,IC50,uM,50.0
CHEMBL335033,7.30,=,IC50,uM,0.05
CHEMBL122983,,>,IC50,uM,100.0
CHEMBL338720,6.25,=,IC50,uM,0.56
CHEMBL339995,,<,IC50,uM,0.01
CHEMBL335158,,<,IC50,uM,0.01
CHEMBL131536,5.85,=,IC50,uM,1.4
CHEMBL106126,4.77,=,IC50,uM,17.0
CHEMBL334971,5.96,=,IC50,uM,1.1
CHEMBL336625,,>,IC50,uM,50.0
CHEMBL130666,7.58,=,IC50,uM,0.026
CHEMBL134061,,>,IC50,uM,50.0
CHEMBL133388,6.10,=,IC50,uM,0.8
CHEMBL130645,,>,IC50,uM,50.0
CHEMBL335112,,,IC50,uM,
CHEMBL133580,,>,IC50,uM,50.0
CHEMBL336524,7.25,=,IC50,uM,0.056
CHEMBL336276,6.70,=,IC50,uM,0.2
CHEMBL334395,6.52,=,IC50,uM,0.3
CHEMBL131320,6.70,=,IC50,uM,0.2
CHEMBL339297,,>,IC50,uM,50.0
CHEMBL337714,6.30,=,IC50,uM,0.5
CHEMBL122575,,>,IC50,uM,100.0
CHEMBL130704,,>,IC50,uM,50.0
CHEMBL46151,,=,kn,M-1 min-1,75.0
CHEMBL46151,,=,IC50,mM,0.26
CHEMBL46151,,=,kOX,M-1 min-1,77.0
CHEMBL46151,,,kHOX,M-1 min-1,36.3
CHEMBL46151,,,Rmax,%,
CHEMBL296010,,,IC50,mM,
CHEMBL54126,7.66,=,IC50,nM,22.0
CHEMBL295017,,,IC50,mM,
