molecule_chembl_id,smiles,relation,value_nM,activity_type
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,=,0.38,inactive
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,=,6.92,inactive
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,=,0.41,inactive
CHEMBL115875,NNC(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,=,9.6,inactive
CHEMBL113168,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,=,1.16,inactive
CHEMBL112483,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,=,9.3,inactive
CHEMBL112819,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,=,2.1,inactive
CHEMBL111895,CCN(CC)Cc1c(C(=O)NN)nnn1-c1nonc1N,=,17.0,inactive
CHEMBL323012,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,=,11.7,inactive
CHEMBL111298,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,=,0.004,active
CHEMBL325817,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F,=,0.014,active
CHEMBL326208,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O,=,0.014,active
CHEMBL111005,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccc(F)cc1Cl,=,0.006,active
CHEMBL109977,COc1ccccc1C1=C(c2cn(CCCNC=O)c3ncccc23)C(=O)NC1=O,=,0.008,active
CHEMBL109834,CN(C)CCCn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2cccnc21,=,0.015,active
CHEMBL423323,COc1ccccc1C1=C(c2cn(CCCNS(N)(=O)=O)c3ncccc23)C(=O)NC1=O,=,0.02,active
CHEMBL111620,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl,=,0.026,active
CHEMBL326971,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1Cl,=,0.01,active
CHEMBL450340,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccn1,=,0.48,inactive
CHEMBL109981,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,=,0.007,active
CHEMBL308293,CCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,=,0.4,inactive
CHEMBL77264,COc1ccc(-c2[nH]c3nccnc3c2C)cc1,=,0.46,inactive
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,=,0.65,inactive
