molecule_chembl_id,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL396614,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(Cl)c3)o2)S1,382.9801254799999,6,3,2.38607,active
CHEMBL233970,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,417.00648246,6,3,2.7514700000000003,active
CHEMBL233554,CN(C)CCNS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=N)NC3=O)o2)cc1,420.09259712000005,7,3,1.9251700000000003,inactive
CHEMBL1162963,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,515.232125168,6,1,4.813100000000004,active
CHEMBL436837,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3nc(-c4ccc(Cl)cc4Cl)[nH]c23)cc1,518.05823148,5,4,4.586300000000002,active
CHEMBL400745,O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12,425.06978214400004,3,3,5.214800000000003,inactive
CHEMBL399140,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccccc4)nc23)cc1,450.136176184,5,4,3.2795000000000005,active
CHEMBL399139,O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12,357.14772684800005,3,3,3.908000000000002,inactive
CHEMBL250714,O=C(NCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12,343.13207678400005,3,3,3.8655000000000017,inactive
CHEMBL249530,Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,379.04325754800004,5,1,4.165900000000002,inactive
CHEMBL250148,Brc1cnn2c(NCOc3cccnc3)cc(-c3ccccc3)nc12,395.038172168,6,1,4.002200000000002,inactive
CHEMBL249947,Fc1ccccc1-c1cc(NCc2ccccc2)n2ncc(Br)c2n1,396.0385867680001,4,1,4.910000000000003,inactive
CHEMBL400240,CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,475.97093646800005,6,1,4.959300000000003,inactive
CHEMBL400239,Fc1ccccc1-c1cc(Nc2ccccc2)n2ncc(Br)c2n1,382.0229367040001,4,1,5.041500000000003,inactive
CHEMBL404208,Brc1cnn2c(NCc3cccnc3)cc(-c3cccs3)nc12,384.99967848400007,6,1,4.227400000000002,inactive
CHEMBL250145,Brc1cnn2c(NCc3cccnc3)cc(-c3ccco3)nc12,369.022522104,6,1,3.7589000000000015,inactive
CHEMBL251196,Brc1cnn2c(NCc3cccnc3)cc(C3CCNCC3)nc12,386.0854567080001,6,2,2.9659000000000004,inactive
CHEMBL251393,Brc1cnn2c(NCc3cccnc3)cc(C3CCCCC3)nc12,385.09020774000004,5,1,4.546600000000003,active
CHEMBL249165,CSc1cc(NCc2cccnc2)n2ncc(Br)c2n1,348.999678484,6,1,3.2208000000000014,inactive
CHEMBL250386,COc1cc(NCc2cccnc2)n2ncc(Br)c2n1,333.022522104,6,1,2.5075000000000003,inactive
CHEMBL399078,CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1,332.03850651600004,6,2,2.5406000000000004,inactive
CHEMBL250183,CCOC(=O)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,375.033086788,7,1,2.6756,inactive
CHEMBL251375,CC(O)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,347.038172168,6,2,2.5522,inactive
CHEMBL401056,Brc1cnn2c(NCc3cccnc3)cc(C3CC3)nc12,343.04325754800004,5,1,3.3763000000000014,inactive
